    pL,                   dL,                      pR,              dR,                     du,                     PI,                DIL,          DIR
      0.001000        0.001000        0.999000        0.999000      -10.000000        0.152999        0.005780        0.324143
      0.001000        0.001000        0.999000        0.999000       -9.900000        0.150549        0.005776        0.321019
      0.001000        0.001000        0.999000        0.999000       -9.800000        0.148120        0.005773        0.317902
      0.001000        0.001000        0.999000        0.999000       -9.700000        0.145712        0.005769        0.314792
      0.001000        0.001000        0.999000        0.999000       -9.600000        0.143325        0.005766        0.311688
      0.001000        0.001000        0.999000        0.999000       -9.500000        0.140959        0.005762        0.308591
      0.001000        0.001000        0.999000        0.999000       -9.400000        0.138613        0.005758        0.305501
      0.001000        0.001000        0.999000        0.999000       -9.300000        0.136289        0.005754        0.302418
      0.001000        0.001000        0.999000        0.999000       -9.200000        0.133986        0.005750        0.299342
      0.001000        0.001000        0.999000        0.999000       -9.100000        0.131704        0.005746        0.296272
      0.001000        0.001000        0.999000        0.999000       -9.000000        0.129443        0.005742        0.293210
      0.001000        0.001000        0.999000        0.999000       -8.900000        0.127202        0.005737        0.290156
      0.001000        0.001000        0.999000        0.999000       -8.800000        0.124983        0.005733        0.287108
      0.001000        0.001000        0.999000        0.999000       -8.700000        0.122785        0.005728        0.284068
      0.001000        0.001000        0.999000        0.999000       -8.600000        0.120607        0.005724        0.281034
      0.001000        0.001000        0.999000        0.999000       -8.500000        0.118450        0.005719        0.278009
      0.001000        0.001000        0.999000        0.999000       -8.400000        0.116314        0.005714        0.274990
      0.001000        0.001000        0.999000        0.999000       -8.300000        0.114199        0.005709        0.271979
      0.001000        0.001000        0.999000        0.999000       -8.200000        0.112104        0.005704        0.268976
      0.001000        0.001000        0.999000        0.999000       -8.100000        0.110031        0.005698        0.265980
      0.001000        0.001000        0.999000        0.999000       -8.000000        0.107978        0.005693        0.262992
      0.001000        0.001000        0.999000        0.999000       -7.900000        0.105946        0.005687        0.260012
      0.001000        0.001000        0.999000        0.999000       -7.800000        0.103935        0.005682        0.257040
      0.001000        0.001000        0.999000        0.999000       -7.700000        0.101944        0.005676        0.254075
      0.001000        0.001000        0.999000        0.999000       -7.600000        0.099974        0.005670        0.251118
      0.001000        0.001000        0.999000        0.999000       -7.500000        0.098025        0.005664        0.248170
